  528000    505.65897    2008.3817   -1192.7448     35625.19 
  532400    502.80987    2036.3088    1391.7514     35537.09 
  536800    506.28607    2059.5229   -730.95194    35639.058 
  541200     501.5953    2060.8046   -172.03994    35583.714 
  545600     506.0662    2083.5888   -1532.8589    35626.063 
  550000    508.36667    2101.6218    2266.9129    35574.889 
  554400    511.14785    2130.6978   -203.18916    35621.442 
  558800    497.68686    2140.5062   -1097.7145     35623.09 
  563200    490.28393    2162.9716   -599.35314    35584.879 
  567600    512.19149      2190.86   -1872.9226    35639.437 
  572000    494.74532    2206.7772   -166.45077    35574.024 
  576400    507.79331     2217.689    1237.3773    35548.988 
  580800    495.59436    2241.4494   -1712.7247    35635.229 
  585200    499.30757    2251.2968   -2562.8144    35620.691 
  589600    501.70922    2261.1528    513.58182    35561.579 
  594000    498.63742    2273.7682    1959.5608    35575.128 
  598400    494.81998    2301.0128   -1019.9266    35638.885 
  602800    503.89056    2321.4507    911.20834    35558.235 
  607200    495.65321    2347.7604   -1154.0969    35661.499 
  611600    489.63282    2368.4834   -1684.6357    35627.306 
  616000    500.43755    2384.8884     616.5594    35595.806 
  620400     498.2817    2390.5783    387.49683    35595.651 
  624800    502.47203    2387.6906    1571.2475    35508.908 
  629200    496.05314    2416.1261    129.69514    35607.525 
  633600    506.34992    2430.6686    805.25031    35560.389 
  638000    501.94549    2449.6457   -138.91027    35543.951 
  642400    497.62568    2471.9719    57.007599    35591.957 
  646800    500.37416    2490.7992    2170.7736     35551.23 
  651200    497.70189    2506.5477   -93.511734    35578.428 
  655600    498.30575     2523.011   -1395.5348    35619.603 
  660000    498.18125    2534.5778   -1112.7675    35644.392 
  664400    498.64939    2537.6401   -1168.9482    35593.574 
  668800    496.56813    2563.4464    -577.1156    35656.495 
  673200    493.02971    2599.2353    -414.9936    35629.344 
  677600     500.8988    2612.6167   -1349.5329    35605.144 
  682000    508.37547    2638.1196   -3654.0996    35709.037 
  686400    500.02008    2643.5285    2615.6515    35537.985 
  690800    506.42454    2656.7966    1322.0702    35580.444 
  695200    508.45551    2670.7663   -2751.4048    35681.413 
  699600    497.48729    2680.9221   -1075.8259    35626.071 
  704000    498.07214    2698.4089    179.33505    35622.872 
  708400    498.03403    2706.9383   -2399.9974    35701.947 
  712800    494.73082    2723.3647    1525.8794    35565.818 
  717200    504.66307    2734.4519   -420.05247    35638.227 
  721600    499.76288    2753.6463    2033.3047    35554.677 
  726000    505.92975    2769.6818   -2321.4735    35592.257 
  730400    509.97281    2781.8413     357.7657    35592.665 
  734800    499.47211    2801.3599   -1298.1856    35570.846 
  739200    499.29887    2824.1219   -5058.7282    35765.724 
  743600    506.99776    2831.5999   -762.63983    35642.683 
  748000    492.35184    2835.0668   -1945.8787    35643.867 
  752400    506.04782    2850.4584   -1279.0771    35640.756 
  756800     494.4589    2872.5483    886.06899    35579.335 
  761200    492.35493    2897.5661   -2081.7188    35648.465 
  765600    514.55319    2914.1622   -216.56871    35601.915 
  770000    487.70729     2915.211    1347.1071    35529.096 
  774400    489.32918     2943.852   -4090.1891    35705.822 
  778800    501.72706    2962.5904    2135.1867    35548.813 
  783200    504.21133    2966.8485     2872.316    35485.868 
  787600    491.90748    2992.7937     79.36854    35605.621 
  792000     492.8053    3016.8786    936.46962    35594.886 
  796400    484.38866    3028.2348    -928.8804    35583.069 
  800800    499.05852    3043.1363    2596.0097    35494.343 
  805200    500.13653    3057.3667   -1826.1871    35636.917 
  809600    501.83259    3071.4231    1971.9833    35559.391 
  814000    502.38228    3105.0532    520.68437    35572.084 
  818400    519.51699    3111.5449    129.18199    35588.141 
  822800     498.7901    3145.5572   -2940.1571    35675.461 
  827200    487.22806    3154.2127   -790.63063    35645.826 
  831600    506.33814    3159.5771   -1597.7979    35628.364 
  836000    509.42285    3182.7026    1681.6744    35567.155 
  840400    495.29442    3205.1387   -726.36891    35603.196 
  844800    507.66432     3223.974    1117.8234    35594.266 
  849200    502.38302    3243.1356    2225.3782    35540.278 
  853600    497.56645    3259.8796    448.65488    35541.714 
  858000    514.55942    3276.5527    1107.8934     35591.08 
  862400    491.37106    3301.1352    579.63001    35614.002 
  866800    506.82718    3337.3282    -1011.608    35616.738 
